,item_uuid,name,product_id,product_uuid,source
74,75c5c13f-9d2d-4da6-a206-30d404cebd74,ACULAREN CMC SOL 0.45% C/30 AMP0.4ML.,00000000000000006285,0007a2c7-dcfa-4aca-aaa0-145ba5bf22b8,farmatodo
75,851b16c5-6b0f-4cfe-b217-240360615262,PRESERV PRUDENCE CLASICO C20,00000000000000019903,0007bb45-8933-42b2-a659-9dd1fdc77eb3,farmasmart
76,3a9844c0-4ae4-413e-ba5b-6f3217d428ba,El Escritor Fantasma,00000007509996020939,0007c0f8-65cb-4ecb-86d4-d02c20b4e25c,sanborns
77,f126b683-1c53-4758-821b-725c2a9e6618,Esmalte Liquido Maybelline Vao F.Strong,00000000000011169281,0007c58a-eee3-4c09-bd23-d54995b3c7ee,soriana
78,13d37f3e-5831-4073-aa12-0ee9e1123d8f,mircera inyección 1 pieza jeringa,00000007501009072027,0007d7d5-5458-4613-921f-f6a9617cf3e3,san_pablo
79,None,MEDERMA GEL 20G,00000000000000009325,0007e3fa-aef4-4a78-875d-719aed45a0ca,farmasmart
80,e4c9e160-3e63-4bb6-bba7-71bc55447e38,vanish poder o2 liquido prelavador 650 ml,00000000750105875763,0007e4d6-8270-438f-a9fc-2ef763005405,superama
81,8a4f0d3a-d455-4905-964d-5f23d711baf3,"TOPRON 1 Frasco con vaso dosificador , 120 ml",00000007501088575600,000824f6-cce4-4a23-b796-d37f1dde4627,plm
82,85f74681-81dd-4dbc-b47c-12ad9eb44235,KISSES HERSHEYS CHOCOLATE CON LECHE,00000027501024547979,00084810-48fb-4f6c-b98f-7d691858f5f1,gs1
83,c53a1347-9d64-46b2-8b54-a9f8591dab3f,Epifast Codera Básica grande,00000004042809222364,00085ab4-cddd-4422-85ad-e815d9a852fa,san_pablo
84,759476bf-4166-4369-b74c-f0dba7278a57,pañal kln bb absorsec mediano 80 u,00000000750194341449,000873e7-98a9-423f-92ac-19145ac07e5d,chedraui
85,abb2906c-d88a-49d3-a404-bef835e1d311,Pantimedia  Dorian Grey Arena Extra Grande,00000007501020807356,000895a0-fecd-4251-8c6f-d63d38660eac,sanborns
86,82fc5b43-d601-4faa-9993-3743bfa813c5,"pantalon cab yale 0100600340, marino, 32",00000000075581321723,0008ce24-8b4d-4872-aa58-3197dcc762b9,chedraui
87,d65f1216-25c0-4723-af96-309de311bede,SCRIBE PLANTAS VS ZOMBIES CUADERNO 1983,00000007506129433529,0008d21a-16b3-4068-91e0-d4b63673efd4,gs1
88,d23c666d-ef1f-479b-8841-2ae8f94af024,Hueso carnaza multicolor 4 5,00000007501010798336,0008d223-9fd1-4801-88a7-bbe6b2c34839,la_comer
89,1a3bc07b-117c-4994-983e-4dabe5e38473,Manteca vegetal,00000007502223774025,0008ddcb-4f9d-46e3-9b3e-922a4efae05a,city_market
90,8d50b26b-8455-4a66-ba1e-bc774f2cca76,Eivys Aromatizante Liquido Varios Aromas 250 Ml Botell,00000000000000387638,0008ee07-353c-4d28-8269-ae36acd18a13,soriana
91,94c4991a-8546-4219-88e8-51346210b200,desodorante roll on caballero,00000008410190574342,00090091-6fb2-43df-b418-e14f2482b72f,comercial_mexicana
92,None,PALMOLIVE SG MEN ULTRACOOLING 390 ML,00000000000000013702,00091aed-88e6-4c59-af23-d541995ae762,farmatodo
93,db7170f9-289e-4bae-ac72-6a1e530489a9,UNIVERSAL EL JARDINERO  FIEL  AFRICA MIA PELICULA DVD,00000007501925432240,00093ea7-3562-4ee7-8ce2-f703a5cc7ca3,gs1
94,ac766e7a-c7d1-4684-8a27-004622995cf4,SAFEBUL TABL 8 MG x 14,00000007502216933842,000970a3-e80b-4ff3-bdd1-659b60d836d1,ims
95,c9fc42ff-75bc-4dfe-9947-8d831a45262e,Pasta penne rigate,00000008006165383325,000983f4-9953-4795-af08-97c1eec161ae,la_comer
96,9c486c10-56cc-4a3e-be40-a5e6d6478a69,Shampoo Hydrating Coconut Oil & Shea,00000000000003301307,0009a733-c2a6-4b0e-8daa-23955e3052db,chedraui
97,2e6475f2-40aa-440e-bc95-6064759a2bc1,CAVICCHIOLI VINO ROSADO ESPUMOSO,00000008001900234054,0009b51d-a5cb-470a-ac9f-d741b495d7aa,gs1
98,2b55e3df-5d5d-422c-a36e-7125790b5d8f,CAPULLO  ACEITE VEGETAL COMESTIBLE,00000017502223770826,0009c5dc-1997-41b7-8f7d-142a12d09ea6,gs1
99,5733c2c9-53aa-45df-8bc4-56e49296e9c1,Crema  Hinds Aclaradora 230 Ml Botella   1088,00000000000000007511,0009d001-eb6c-447e-bf91-926566fbc36f,f_ahorro
